sentence,category,RequisitionID,JobTitle
"+ Develop, document, and maintain training and knowledge transfer procedures",Description,R38896,ENGINEER (all other)
+ Develop end-user training and knowledge management materials in support of new releases,Description,R38896,ENGINEER (all other)
"+ Develop, implement, and maintain a CESO-accessible knowledge database/portal",Description,R38896,ENGINEER (all other)
+ Provide training when substantive technological changes are introduced,Description,R38896,ENGINEER (all other)
BASIC QUALIFICATIONS: + Current Top Secret w/SCI (TS/SCI) eligibility (Mandatory). Some candidates will be required to obtain CI Poly.,Requirements,R38896,ENGINEER (all other)
"+ BS and 12+ years of hands-on engineering and administration experience in virtualized environments, ideally with federal government; add'l experience may be considered in lieu of degree",Requirements,R38896,ENGINEER (all other)
"+ IAT Level II Baseline Certification (e.g. CCNA Security, CySA+, GICSP, GSEC, Security+ CE, CND, SSCP)",Requirements,R38896,ENGINEER (all other)
+ Ability to obtain an Amazon Operations certification or Amazon Developer certification within 120 days,Requirements,R38896,ENGINEER (all other)
+ Ability to obtain an Ansible certification within 180 day,Requirements,R38896,ENGINEER (all other)
+ Strong knowledge of networking and operating systems,Requirements,R38896,ENGINEER (all other)
"+ Virtualization, VM image builds & security hardening",Requirements,R38896,ENGINEER (all other)
"+ Experience working in a high op-temp, top secret environment",Requirements,R38896,ENGINEER (all other)
PREFERRED QUALIFICATIONS: + Prior experienced with DISA and DISA's support to mission partners,Description,R38896,ENGINEER (all other)
Security Clearance : Current Top Secret w/SCI eligibility (Mandatory). Some candidates will be required to obtain CI Poly.,Requirements,R38896,ENGINEER (all other)
"Work locations : Arlington, VA",Description,R38896,ENGINEER (all other)
"Work hours : Normal daytime working hours, 40 hrs/week",Description,R38896,ENGINEER (all other)
Contract: This is a funded 10-yr contract through 2031,Description,R38896,ENGINEER (all other)
"POC: If interested, please upload your resume and also directly contact our Recruiting lead, Matt Mardeusz, matthew.mardeusz@mantech.com , (571) 409-3246 (please send copy of your resume and certifications).",Description,R38896,ENGINEER (all other)
"ManTech -- A leader in Enterprise IT, full-spectrum cyber, data collection and analytics, and systems engineering and software applications.",Marketing,R38896,ENGINEER (all other)
Check us out at www.ManTech.com .,Marketing,R38896,ENGINEER (all other)
Celebrating over 50 years of service to our Nation.,Marketing,R38896,ENGINEER (all other)
"For all positions requiring access to technology/software source code that is subject to export control laws, employment with the company is contingent on either verifying U.S.-person status or obtaining any necessary license.",Legal,R38896,ENGINEER (all other)
"The applicant will be required to answer certain questions for export control purposes, and that information will be reviewed by compliance personnel to ensure compliance with federal law.",Legal,R38896,ENGINEER (all other)
ManTech may choose not to apply for a license for such individuals whose access to export-controlled technology or software source code may require authorization and may decline to proceed with an applicant on that basis alone.,Legal,R38896,ENGINEER (all other)
"ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer.",Legal,R38896,ENGINEER (all other)
"We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.",Legal,R38896,ENGINEER (all other)
"If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000.",Legal,R38896,ENGINEER (all other)
"ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply.",Legal,R38896,ENGINEER (all other)
ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies.,Legal,R38896,ENGINEER (all other)
ManTech does not accept resumes from unsolicited recruiting firms.,Legal,R38896,ENGINEER (all other)
We pay no fees for unsolicited services.,Legal,R38896,ENGINEER (all other)
"If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability.",Legal,R38896,ENGINEER (all other)
To request an accommodation please click careers@mantech.com and provide your name and contact information.,Legal,R38896,ENGINEER (all other)
Description: We are looking for an Instrumentation and Controls (I&C) Engineer with experience designing industrial building control systems to join our client's growing team.,Description,JP-003978585,ENGINEER (all other)
"Responsibilities will include detailed designs for industrial automation and control systems for facilities, construction services for facilities, conducting control system startups for industrial and municipal projects, and collaborating with client design and development teams.",Description,JP-003978585,ENGINEER (all other)
"This candidate will be able to practice or develop the skills of a design engineer providing instrumentation and control designs (specifications, wiring diagrams, and P&IDs).",Description,JP-003978585,ENGINEER (all other)
"We are looking for candidates who have a proven track record of designing, testing, and assisting with the startup industrial control systems for municipal water/wastewater work.",Description,JP-003978585,ENGINEER (all other)
The role requires the ability to integrate and apply our client's service offerings and talent to help our clients solve their most challenging issues.,Description,JP-003978585,ENGINEER (all other)
"Additional Skills & Qualifications: + B.S. in Electrical Engineering, Chemical Engineering, Mechanical Engineering, or other degree or equivalent work experience relevant to process automation control system work + Professional Registration in GA, TN, or NC is required, or the ability to obtain within 6 months is desired + Minimum of 6 years of experience as an I&C engineer and/or automation systems programmer for industrial projects providing services for government, municipal, and/or industrial water and wastewater projects, or industrial private-sector clients such as pharmaceutical, chemical, food products, petrochemical, or pulp and paper industries preferred + Experience in industrial process automation systems design, Fieldbus technologies, instrumentation installation, cybersecurity, or network design is a plus + Experience in AutoCAD and/or Revit is a plus + Comfortable and effective with clients and contractors as a direct interface + Experience with power distribution for the W/WW industry is a plus + Technical Sales and business development experience is a plus Experience Level: Intermediate Level",Requirements,JP-003978585,ENGINEER (all other)
"Diversity, Equity & Inclusion At Actalent, diversity and inclusion are a bridge towards the equity and success of our people.",Legal,JP-003978585,ENGINEER (all other)
"DE&I are embedded into our culture through: + Hiring diverse talent + Maintaining an inclusive environment through persistent self-reflection + Building a culture of care, engagement, and recognition with clear outcomes + Ensuring growth opportunities for our people",Legal,JP-003978585,ENGINEER (all other)
Actalent is an equal opportunity employer.,Legal,JP-003978585,ENGINEER (all other)
About Actalent,Marketing,JP-003978585,ENGINEER (all other)
Actalent connects passion with purpose.,Marketing,JP-003978585,ENGINEER (all other)
"We help visionary companies advance their engineering and science initiatives through access to specialized experts that drive scale, innovation, and speed to market.",Marketing,JP-003978585,ENGINEER (all other)
"With a network of almost 30,000 engineering and sciences consultants and more than 4,500 clients across the U.S., Canada, Asia, and Europe, Actalent serves many of the Fortune 500.",Marketing,JP-003978585,ENGINEER (all other)
"An operating company of Allegis Group, the global leader in talent solutions, Actalent launched as a new specialized engineering and sciences services and workforce solutions brand in 2021.",Marketing,JP-003978585,ENGINEER (all other)
"Location: Vienna, VA(Hybrid 1 day a week) Must be US Citizen and GC Holder.",Legal,5b434ccbec94,ENGINEER (all other)
"Description: The successful candidate will be working with IT, industrial internet of things (IoT) and operational technology teams to lead technology driven business process transformation and innovation for Navy Federal Credit Union.",Description,5b434ccbec94,ENGINEER (all other)
"They will partner with IT, Risk, Security and Audit teams to establish operational compliance that streamlines operations while protecting the organization.",Description,5b434ccbec94,ENGINEER (all other)
The ideal candidate will serve as a subject matter expert for Cyber/Device Security having strong network engineering skills.,Description,5b434ccbec94,ENGINEER (all other)
"This candidate will work closely with the team to understand connected devices/internet of things in depth and to document the product details including the security architecture, trust boundaries and data flows.",Description,5b434ccbec94,ENGINEER (all other)
They will provide product security related coaching/mentoring and security expertise for all IoT device teams.,Description,5b434ccbec94,ENGINEER (all other)
"Responsibilities: + Professional understanding of the essential requirements of IoT architecture, scalability, real-time capability, data protection and security",Description,5b434ccbec94,ENGINEER (all other)
+ Identify security risk in Navy Federal's IoT device ecosystem and communicate those risks to management and assist with the mitigation efforts,Description,5b434ccbec94,ENGINEER (all other)
"+ Oversee and manage the deployment, integration and configuration of security solutions and any enhancements to existing IoT security solutions and the enterprise's security documents",Description,5b434ccbec94,ENGINEER (all other)
"+ Perform security research, analysis, and testing via threat modeling, vulnerability assessment, penetration testing, and/or social engineering across a wide variety of applications, platforms and systems",Description,5b434ccbec94,ENGINEER (all other)
"+ Work with Industry solution providers, equipment manufacturers, and the Enterprise Resource Planning vendor to design and implement the required systems integrations points and data flow to achieve best in class lights-out-operations",Description,5b434ccbec94,ENGINEER (all other)
"+ Partner with sensors specialists to manage new sensors data streaming to IoT platform, and with data scientists and machine learning engineers to take on analytic results and develop it to an application with user interface, integrate with any pre-existing systems, demonstrate successful use cases and wins, etc.",Description,5b434ccbec94,ENGINEER (all other)
"+ Understand systems flow, data source, data usage and technical requirements clearly, to meet the functionalities per user requirements",Description,5b434ccbec94,ENGINEER (all other)
+ Accountable for the improvement and delivery of the applications geared towards the industrial communications and data collection,Description,5b434ccbec94,ENGINEER (all other)
Qualifications: + Experience with Cyber Security and Network Security,Requirements,5b434ccbec94,ENGINEER (all other)
+ Experience with configuring and designing segmented networking,Requirements,5b434ccbec94,ENGINEER (all other)
"+ Knowledge of TCP/IP, HTTP, UDP, and XML",Requirements,5b434ccbec94,ENGINEER (all other)
"+ Knowledge of IoT software platforms such as ORDR, ARMIS, Azure IoT or Cisco IoT Hub",Requirements,5b434ccbec94,ENGINEER (all other)
+ Proven ability to work creatively and analytically in a problem-solving environment,Requirements,5b434ccbec94,ENGINEER (all other)
"+ Familiarity with OT environment security with risk-based management, vulnerabilities, asset and threat protection, security behavioral analytics, and security environmental configuration Note: All the considerations above should be addressed in platforms to include Cloud, On-Prem, Hybrid, with various operating systems",Requirements,5b434ccbec94,ENGINEER (all other)
+ Minimum 5 years of Information Security Experience,Requirements,5b434ccbec94,ENGINEER (all other)
"+ Minimum of 1 year of Industrial Internet of things experience including rapid design, prototyping and deployment of embedded systems",Requirements,5b434ccbec94,ENGINEER (all other)
"+ Experience with communicating and data collection from systems such as sensors, controllers, and industrial systems",Requirements,5b434ccbec94,ENGINEER (all other)
+ Able to articulate and present IoT concepts to senior management,Requirements,5b434ccbec94,ENGINEER (all other)
+ Experience in Industrial environment is an asset,Requirements,5b434ccbec94,ENGINEER (all other)
+ Proven success in contributing to a team-oriented environment,Requirements,5b434ccbec94,ENGINEER (all other)
+ Ability to align and influence critical stakeholders,Requirements,5b434ccbec94,ENGINEER (all other)
+ Strong supporter of customer centricity. Understands the importance of demonstrating concern for satisfying customers. Passionate about developing goals to improve customer experience,Requirements,5b434ccbec94,ENGINEER (all other)
+ Retain and convey a positive attitude in challenging circumstances,Requirements,5b434ccbec94,ENGINEER (all other)
Design metal stamping dies in SolidWorks,Description,JP-003989422,ENGINEER (all other)
Make engineering changes to existing designs,Description,JP-003989422,ENGINEER (all other)
"Collaborate with multiple departments: Engineering, Toolroom, Operations",Description,JP-003989422,ENGINEER (all other)
Will interact directly with customers ad OEMs on projects and needs,Description,JP-003989422,ENGINEER (all other)
Troubleshoot and problem solve any design related issues in the production process,Description,JP-003989422,ENGINEER (all other)
Will consider someone with many years in the Tool & Die industry and no college degree,Requirements,JP-003989422,ENGINEER (all other)
Will also consider a recent college graduate with BS degree and internship/co-op who is 3D savvy,Requirements,JP-003989422,ENGINEER (all other)
"Experience with CAD tools, dies, gauges",Requirements,JP-003989422,ENGINEER (all other)
Experience Level: Entry Level,Requirements,JP-003989422,ENGINEER (all other)
"Diversity, Equity & Inclusion At Actalent, diversity and inclusion are a bridge towards the equity and success of our people.",Marketing,JP-003989422,ENGINEER (all other)
DE&I are embedded into our culture through:,Marketing,JP-003989422,ENGINEER (all other)
Hiring diverse talent,Marketing,JP-003989422,ENGINEER (all other)
Maintaining an inclusive environment through persistent self-reflection,Marketing,JP-003989422,ENGINEER (all other)
"Building a culture of care, engagement, and recognition with clear outcomes",Marketing,JP-003989422,ENGINEER (all other)
Ensuring growth opportunities for our people,Marketing,JP-003989422,ENGINEER (all other)
Actalent is an equal opportunity employer.,Legal,JP-003989422,ENGINEER (all other)
Actalent connects passion with purpose.,Marketing,JP-003989422,ENGINEER (all other)
"We help visionary companies advance their engineering and science initiatives through access to specialized experts that drive scale, innovation, and speed to market.",Marketing,JP-003989422,ENGINEER (all other)
"With a network of almost 30,000 engineering and sciences consultants and more than 4,500 clients across the U.S., Canada, Asia, and Europe, Actalent serves many of the Fortune 500.",Marketing,JP-003989422,ENGINEER (all other)
"An operating company of Allegis Group, the global leader in talent solutions, Actalent launched as a new specialized engineering and sciences services and workforce solutions brand in 2021.",Marketing,JP-003989422,ENGINEER (all other)
"Company Description At AECOM, we're delivering a better world.",Marketing,J10086673,ENGINEER (all other)
We believe infrastructure creates opportunity for everyone.,Marketing,J10086673,ENGINEER (all other)
"Whether it's improving your commute, keeping the lights on, providing access to clean water or transforming skylines, our work helps people and communities thrive.",Marketing,J10086673,ENGINEER (all other)
"Our clients trust us to bring together the best people, ideas, technical expertise and digital solutions to our work in transportation, buildings, water, the environment and new energy.",Marketing,J10086673,ENGINEER (all other)
"We're one global team - 47,000 strong - driven by a common purpose to deliver a better world.",Marketing,J10086673,ENGINEER (all other)
"Job Description AECOM is seeking a Structural Engineer to be based in New Orleans, LA.",Description,J10086673,ENGINEER (all other)
"The responsibilities of this position include, but are not limited to:",Description,J10086673,ENGINEER (all other)
"Undertaking design activities on maritime projects - container terminals, mining/bulk, oil/gas, marinas, ports and harbors, DOD facilities, coastal defense and development schemes",Description,J10086673,ENGINEER (all other)
Structural design for terminals across the United States,Description,J10086673,ENGINEER (all other)
"Independently prepare engineering related calculations and develop technical specifications, plans, and details",Description,J10086673,ENGINEER (all other)
Provides guidance to entry level engineers,Description,J10086673,ENGINEER (all other)
Independently performs all the tasks necessary to complete primary design elements for engineering works,Description,J10086673,ENGINEER (all other)
BA/BS,Requirements,J10086673,ENGINEER (all other)
4 years of relevant experience or demonstrated equivalency of experience and/or education,Requirements,J10086673,ENGINEER (all other)
Valid Driver's license required,Requirements,J10086673,ENGINEER (all other)
Professional Engineering Registration Louisiana or ability to obtain immediately upon start,Requirements,J10086673,ENGINEER (all other)
Bachelor's degree in Civil or Structural Engineering,Requirements,J10086673,ENGINEER (all other)
6 years of relevant experience on infrastructure and facilities projects,Requirements,J10086673,ENGINEER (all other)
Proficient in CAD and structural design software,Requirements,J10086673,ENGINEER (all other)
"Experience in design for waterfront projects including piers, wharves, bulkheads, and seawalls",Requirements,J10086673,ENGINEER (all other)
Master's Degree preferred,Requirements,J10086673,ENGINEER (all other)
Experience in the design of marine terminals or DOD facilities,Requirements,J10086673,ENGINEER (all other)
"Enthusiastic, hard-working, technically proficient, with ambition and drive",Requirements,J10086673,ENGINEER (all other)
Sponsorship will not be provided for this role,Legal,J10086673,ENGINEER (all other)
"Here, you will have freedom to grow in a world of opportunity.",Marketing,J10086673,ENGINEER (all other)
We will give you the flexibility you need to do your best work with hybrid work options.,Marketing,J10086673,ENGINEER (all other)
"Whether you're working from an AECOM office, remote location or at a client site, you will be working in a dynamic environment where your integrity, entrepreneurial spirit and pioneering mindset are championed.",Marketing,J10086673,ENGINEER (all other)
"You will help us foster a culture of equity, diversity and inclusion - a safe and respectful workplace, where we invite everyone to bring their whole selves to work using their unique talents, backgrounds and expertise to create transformational outcomes for our clients.",Marketing,J10086673,ENGINEER (all other)
We will encourage you to grow and develop your career with us through our technical and professional development programs and diverse career opportunities.,Marketing,J10086673,ENGINEER (all other)
"We believe in leadership at all levels. No matter where you sit in the organization you can make a lasting impact on the projects you work on, the teams and committees you join and our business.",Marketing,J10086673,ENGINEER (all other)
"We offer competitive pay and benefits, well-being programs to support you and your family, and the development resources you need to advance your career.",Marketing,J10086673,ENGINEER (all other)
"When you join us, you will connect and collaborate with a global network of experts - planners, designers, engineers, scientists, consultants, program and construction managers - leading the change toward a more sustainable and equitable future.",Marketing,J10086673,ENGINEER (all other)
Join us and let's get started.,Marketing,J10086673,ENGINEER (all other)
"With infrastructure investment accelerating worldwide, our services are in great demand, and there's never been a better time to be at AECOM!",Marketing,J10086673,ENGINEER (all other)
"Join us, and you'll get all the benefits of being a part of a global, publicly traded firm - access to industry-leading technology and thinking and transformational work with big impact and work flexibility.",Marketing,J10086673,ENGINEER (all other)
AECOM provides a wide array of compensation and benefits programs to meet the diverse needs of our employees and their families.,Marketing,J10086673,ENGINEER (all other)
We also provide a robust global well-being program.,Marketing,J10086673,ENGINEER (all other)
"We're the world's trusted global infrastructure firm, and we're in this together - your growth and success are ours too.",Marketing,J10086673,ENGINEER (all other)
"As an Equal Opportunity Employer, we believe in each person's potential, and we'll help you reach yours.",Legal,J10086673,ENGINEER (all other)
